IDProiezione, IDFilm, IDsala, prezzo, data, postiLiberi, disposizionePosti
2122, 203, 2, 21.5, 22-02-2033 12:12:31, 21, 1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;
2123,201, 2, 21.5, 22-02-2033 12:12:31, 21, 1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;
2124,204, 2, 21.5, 22-02-2030 12:12:31, 21, 1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;
2125,201, 2, 21.5, 22-02-2022 12:12:31, 21, 1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;
2126,208, 2, 21.5, 22-02-2022 12:12:31, 21, 1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;
2127,208, 2, 21.5, 22-02-2022 12:12:31, 21, 1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;
2130,202, 2, 21.5, 22-02-2022 12:12:31, 21, 1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;
2131,2123, 2, 21.5, 22-02-2022 12:12:31, 21, 1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;1:1:1:0:0:1:1:1; 1:2:2:0:0:1:1:1;1:1:1:0:0:1:2:2;
2128,203, 2,' 21.5,22-02-2022 12:12:31,17,2: 2: 2: 0: 0: 1: 1: 1; 2: 2: 2: 0: 0: 1: 1: 1; 1: 1: 1: 0: 0: 1: 2: 2; 1: 1: 1: 0: 0: 1: 1: 1; 1: 2: 2: 0: 0: 1: 1: 1; 1: 1: 1: 0: 0: 1: 2: 2
2129,203, 2,' 21.5,22-02-2022 12:12:31,17,2: 2: 2: 0: 0: 1: 1: 1; 2: 2: 2: 0: 0: 1: 1: 1; 1: 1: 1: 0: 0: 1: 2: 2; 1: 1: 1: 0: 0: 1: 1: 1; 1: 2: 2: 0: 0: 1: 1: 1; 1: 1: 1: 0: 0: 1: 2: 2;2: 2: 2: 0: 0: 1: 1: 1; 2: 2: 2: 0: 0: 1: 1: 1; 1: 1: 1: 0: 0: 1: 2: 2; 1: 1: 1: 0: 0: 1: 1: 1; 1: 2: 2: 0: 0: 1: 1: 1; 1: 1: 1: 0: 0: 1: 2: 2
