IDFilm, nome, locandina, info, prezzoBase
203, Giorgio, img1.png, aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, 7.50
205,Francesco, img1.png, bellissimo, 90.90
207,Francesco, img1.png, brutto, 90.90
208,Francesco, img1.png, banana, 90.90
201,Francesco,img1.png,bello,7.50
209,Francesco, img1.png, bellissimo, 90.90
204,Francesco, img1.png, bellissimo, 90.90
210,FILM BELLO,100425034.jpg,FILM BELLISSIMO,7.50
211,a,100425034.jpg,a,4.50
212,a,100425034.jpg,a,7.50
213,a,100425034.jpg,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,7.50
214,Bleach,Immagine2.png,FILM,7.50
215,nigiri,11c3acbc57ec30cf0aef54780a183e57_6231287035337141649.jpg,aurelio,4.50
